module,module_title,lesson,skill,grade
1,Welcome & Grade 4 Review,1.1,Warm-up review of key skills,grade 5
1,Welcome & Grade 4 Review,1.2,Practice with mixed examples,grade 5
1,Welcome & Grade 4 Review,1.3,Spotting and fixing tricky parts,grade 5
1,Welcome & Grade 4 Review,1.4,Putting the skills together,grade 5
1,Welcome & Grade 4 Review,1.5,Show what you know,grade 5
1,Welcome & Grade 4 Review,1.6,Welcome & Grade 4 Review Quiz,grade 5
2,Automatic Multisyllabic Word Analysis,2.1,Introducing automatic multisyllabic word analysis,grade 5
2,Automatic Multisyllabic Word Analysis,2.2,Clear examples of automatic multisyllabic word analysis,grade 5
2,Automatic Multisyllabic Word Analysis,2.3,Practicing automatic multisyllabic word analysis,grade 5
2,Automatic Multisyllabic Word Analysis,2.4,Applying automatic multisyllabic word analysis,grade 5
2,Automatic Multisyllabic Word Analysis,2.5,Mastering automatic multisyllabic word analysis,grade 5
2,Automatic Multisyllabic Word Analysis,2.6,Automatic Multisyllabic Word Analysis Quiz,grade 5
3,Advanced Greek & Latin Roots,3.1,Meet the word parts in Advanced Greek & Latin Roots,grade 5
3,Advanced Greek & Latin Roots,3.2,What each part means,grade 5
3,Advanced Greek & Latin Roots,3.3,Building words with Advanced Greek & Latin Roots,grade 5
3,Advanced Greek & Latin Roots,3.4,Breaking big words into parts,grade 5
3,Advanced Greek & Latin Roots,3.5,Using the parts to unlock meaning,grade 5
3,Advanced Greek & Latin Roots,3.6,Advanced Greek & Latin Roots Quiz,grade 5
4,Advanced Prefixes & Suffixes,4.1,Meet the word parts in Advanced Prefixes & Suffixes,grade 5
4,Advanced Prefixes & Suffixes,4.2,What each part means,grade 5
4,Advanced Prefixes & Suffixes,4.3,Building words with Advanced Prefixes & Suffixes,grade 5
4,Advanced Prefixes & Suffixes,4.4,Breaking big words into parts,grade 5
4,Advanced Prefixes & Suffixes,4.5,Using the parts to unlock meaning,grade 5
4,Advanced Prefixes & Suffixes,4.6,Advanced Prefixes & Suffixes Quiz,grade 5
5,Morphology - Etymology & Word Histories,5.1,Meet the word parts in Etymology & Word Histories,grade 5
5,Morphology - Etymology & Word Histories,5.2,What each part means,grade 5
5,Morphology - Etymology & Word Histories,5.3,Building words with Etymology & Word Histories,grade 5
5,Morphology - Etymology & Word Histories,5.4,Breaking big words into parts,grade 5
5,Morphology - Etymology & Word Histories,5.5,Using the parts to unlock meaning,grade 5
5,Morphology - Etymology & Word Histories,5.6,Morphology - Etymology & Word Histories Quiz,grade 5
6,Fluency - Prose & Poetry for Meaning,6.1,Reading with accuracy,grade 5
6,Fluency - Prose & Poetry for Meaning,6.2,Reading at a smooth rate,grade 5
6,Fluency - Prose & Poetry for Meaning,6.3,Reading with expression,grade 5
6,Fluency - Prose & Poetry for Meaning,6.4,Phrasing with punctuation,grade 5
6,Fluency - Prose & Poetry for Meaning,6.5,Re-reading to build fluency,grade 5
6,Fluency - Prose & Poetry for Meaning,6.6,Fluency - Prose & Poetry for Meaning Quiz,grade 5
7,Comprehension - Quote Accurately from Text,7.1,What is quote accurately from text?,grade 5
7,Comprehension - Quote Accurately from Text,7.2,Finding quote accurately from text in a short text,grade 5
7,Comprehension - Quote Accurately from Text,7.3,Using text evidence for quote accurately from text,grade 5
7,Comprehension - Quote Accurately from Text,7.4,Practicing quote accurately from text with a passage,grade 5
7,Comprehension - Quote Accurately from Text,7.5,Explaining quote accurately from text in my own words,grade 5
7,Comprehension - Quote Accurately from Text,7.6,Comprehension - Quote Accurately from Text Quiz,grade 5
8,Comprehension - Summarize Without Opinion,8.1,What is summarize without opinion?,grade 5
8,Comprehension - Summarize Without Opinion,8.2,Finding summarize without opinion in a short text,grade 5
8,Comprehension - Summarize Without Opinion,8.3,Using text evidence for summarize without opinion,grade 5
8,Comprehension - Summarize Without Opinion,8.4,Practicing summarize without opinion with a passage,grade 5
8,Comprehension - Summarize Without Opinion,8.5,Explaining summarize without opinion in my own words,grade 5
8,Comprehension - Summarize Without Opinion,8.6,Comprehension - Summarize Without Opinion Quiz,grade 5
9,Comprehension - Theme from Details & Reflection,9.1,What is theme from details & reflection?,grade 5
9,Comprehension - Theme from Details & Reflection,9.2,Finding theme from details & reflection in a short text,grade 5
9,Comprehension - Theme from Details & Reflection,9.3,Using text evidence for theme from details & reflection,grade 5
9,Comprehension - Theme from Details & Reflection,9.4,Practicing theme from details & reflection with a passage,grade 5
9,Comprehension - Theme from Details & Reflection,9.5,Explaining theme from details & reflection in my own words,grade 5
9,Comprehension - Theme from Details & Reflection,9.6,Comprehension - Theme from Details & Reflection Quiz,grade 5
10,Comprehension - Compare Characters/Settings/Events,10.1,What is compare characters/settings/events?,grade 5
10,Comprehension - Compare Characters/Settings/Events,10.2,Finding compare characters/settings/events in a short text,grade 5
10,Comprehension - Compare Characters/Settings/Events,10.3,Using text evidence for compare characters/settings/events,grade 5
10,Comprehension - Compare Characters/Settings/Events,10.4,Practicing compare characters/settings/events with a passage,grade 5
10,Comprehension - Compare Characters/Settings/Events,10.5,Explaining compare characters/settings/events in my own words,grade 5
10,Comprehension - Compare Characters/Settings/Events,10.6,Comprehension - Compare Characters/Settings/Events Quiz,grade 5
11,Comprehension - Analyze How POV Shapes the Text,11.1,What is analyze how pov shapes the text?,grade 5
11,Comprehension - Analyze How POV Shapes the Text,11.2,Finding analyze how pov shapes the text in a short text,grade 5
11,Comprehension - Analyze How POV Shapes the Text,11.3,Using text evidence for analyze how pov shapes the text,grade 5
11,Comprehension - Analyze How POV Shapes the Text,11.4,Practicing analyze how pov shapes the text with a passage,grade 5
11,Comprehension - Analyze How POV Shapes the Text,11.5,Explaining analyze how pov shapes the text in my own words,grade 5
11,Comprehension - Analyze How POV Shapes the Text,11.6,Comprehension - Analyze How POV Shapes the Text Quiz,grade 5
12,Informational - Main Ideas w/ Key Details,12.1,What is main ideas w/ key details?,grade 5
12,Informational - Main Ideas w/ Key Details,12.2,Finding main ideas w/ key details in a short text,grade 5
12,Informational - Main Ideas w/ Key Details,12.3,Using text evidence for main ideas w/ key details,grade 5
12,Informational - Main Ideas w/ Key Details,12.4,Practicing main ideas w/ key details with a passage,grade 5
12,Informational - Main Ideas w/ Key Details,12.5,Explaining main ideas w/ key details in my own words,grade 5
12,Informational - Main Ideas w/ Key Details,12.6,Informational - Main Ideas w/ Key Details Quiz,grade 5
13,Informational - Explain Relationships,13.1,What is explain relationships?,grade 5
13,Informational - Explain Relationships,13.2,Finding explain relationships in a short text,grade 5
13,Informational - Explain Relationships,13.3,Using text evidence for explain relationships,grade 5
13,Informational - Explain Relationships,13.4,Practicing explain relationships with a passage,grade 5
13,Informational - Explain Relationships,13.5,Explaining explain relationships in my own words,grade 5
13,Informational - Explain Relationships,13.6,Informational - Explain Relationships Quiz,grade 5
14,Informational - Analyze Overall Text Structure,14.1,What is analyze overall text structure?,grade 5
14,Informational - Analyze Overall Text Structure,14.2,Finding analyze overall text structure in a short text,grade 5
14,Informational - Analyze Overall Text Structure,14.3,Using text evidence for analyze overall text structure,grade 5
14,Informational - Analyze Overall Text Structure,14.4,Practicing analyze overall text structure with a passage,grade 5
14,Informational - Analyze Overall Text Structure,14.5,Explaining analyze overall text structure in my own words,grade 5
14,Informational - Analyze Overall Text Structure,14.6,Informational - Analyze Overall Text Structure Quiz,grade 5
15,Informational - Integrate Info from Several Texts,15.1,What is integrate info from several texts?,grade 5
15,Informational - Integrate Info from Several Texts,15.2,Finding integrate info from several texts in a short text,grade 5
15,Informational - Integrate Info from Several Texts,15.3,Using text evidence for integrate info from several texts,grade 5
15,Informational - Integrate Info from Several Texts,15.4,Practicing integrate info from several texts with a passage,grade 5
15,Informational - Integrate Info from Several Texts,15.5,Explaining integrate info from several texts in my own words,grade 5
15,Informational - Integrate Info from Several Texts,15.6,Informational - Integrate Info from Several Texts Quiz,grade 5
16,Reading - Evaluate Reasons & Evidence in Arguments,16.1,What is evaluate reasons & evidence in arguments?,grade 5
16,Reading - Evaluate Reasons & Evidence in Arguments,16.2,Finding evaluate reasons & evidence in arguments in a short text,grade 5
